start,end,studentid,transcript
0:00:34,0:00:35,41327c6b-fe54-449a-94aa-09f0b291dd58,Hello guys.
0:00:38,0:00:44,41327c6b-fe54-449a-94aa-09f0b291dd58,Good good good to meet you wow we are so efficient already all in except one.
0:00:46,0:00:51,41327c6b-fe54-449a-94aa-09f0b291dd58," Okay, who is missing let's find on this core."
0:00:53,0:00:54,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Are you guys want me claim host hang on.
0:00:55,0:00:57,fc07718b-853d-4a8f-8fd8-3c08aa713ede,I think it's Isaac.
0:00:58,0:00:59,41327c6b-fe54-449a-94aa-09f0b291dd58,hmm.
0:01:00,0:01:02,41327c6b-fe54-449a-94aa-09f0b291dd58,Did you become the host.
0:01:05,0:01:09,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Know someone wanted my claim post key for the zoom room for the pri rick.
0:01:10,0:01:11,41327c6b-fe54-449a-94aa-09f0b291dd58,Okay.
0:01:11,0:01:14,a1958a61-a8ce-4002-9980-c66db01f95fe," yeah, thank you for using your link, we need that he."
0:01:16,0:01:17,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah.
0:01:17,0:01:20,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,hang on I just I just edited the message that's there now.
0:01:21,0:01:21,a1958a61-a8ce-4002-9980-c66db01f95fe,we're cool.
0:01:22,0:01:25,41327c6b-fe54-449a-94aa-09f0b291dd58," So, are we going to use your link for the."
0:01:26,0:01:27,41327c6b-fe54-449a-94aa-09f0b291dd58,The whole refreshing.
0:01:27,0:01:28,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," Yes, sounds like."
0:01:28,0:01:30,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," The One the one sent it out, so you might as."
0:01:30,0:01:32,41327c6b-fe54-449a-94aa-09f0b291dd58,Well done doesn't matter like.
0:01:32,0:01:33,,yeah.
0:01:34,0:01:38,41327c6b-fe54-449a-94aa-09f0b291dd58,yay Isaac here's to you know complete good to go.
0:01:39,0:01:40,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Nice.
0:01:40,0:01:41,41327c6b-fe54-449a-94aa-09f0b291dd58,Going guys.
0:01:42,0:01:43,41327c6b-fe54-449a-94aa-09f0b291dd58,So.
0:01:44,0:01:48,41327c6b-fe54-449a-94aa-09f0b291dd58," Do you want to do, like a first icebreaker activity."
0:01:50,0:01:59,41327c6b-fe54-449a-94aa-09f0b291dd58," Right hi, this is the first time I guess you're actually interacting in NRA and so far, it was just like talking head and you know kind of worry I feel you."
0:02:00,0:02:02,41327c6b-fe54-449a-94aa-09f0b291dd58,So yeah.
0:02:03,0:02:04,41327c6b-fe54-449a-94aa-09f0b291dd58,How do you want to go.
0:02:05,0:02:06,41327c6b-fe54-449a-94aa-09f0b291dd58,With the icebreaker.
0:02:08,0:02:11,41327c6b-fe54-449a-94aa-09f0b291dd58,We can just start simply like.
0:02:12,0:02:14,41327c6b-fe54-449a-94aa-09f0b291dd58,How do you say your name vary from.
0:02:16,0:02:20,41327c6b-fe54-449a-94aa-09f0b291dd58," Then, something maybe interesting like where, will you like to be."
0:02:22,0:02:26,41327c6b-fe54-449a-94aa-09f0b291dd58,Like what's your favorite holiday how they place vacation place.
0:02:27,0:02:44,41327c6b-fe54-449a-94aa-09f0b291dd58," And, and then the boring part like maybe for others, what are you working on what are you planning to continue working on stuff yeah how's that I mean you can add more I mean this is the boring stuff like came to my mind."
0:02:46,0:02:47,41327c6b-fe54-449a-94aa-09f0b291dd58,wants to go first.
0:02:50,0:02:52,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,I can go first.
0:02:53,0:02:57,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," Everyone and it today, or you can call them tip for short it's easier."
0:02:59,0:03:10,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,I am working at in Delia during computation on cross could be stuck and i'll be starting my PhD at Johns Hopkins in.
