,start,end,studentid,transcript
0,0:00:34,0:00:35,41327c6b-fe54-449a-94aa-09f0b291dd58,hello guys.
1,0:00:38,0:00:44,41327c6b-fe54-449a-94aa-09f0b291dd58,good good good to meet you wow we are so efficient already all in except one.
2,0:00:46,0:00:51,41327c6b-fe54-449a-94aa-09f0b291dd58," okay, who is missing let's find on this core."
3,0:00:53,0:00:54,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,are you guys want me claim host hang on.
4,0:00:55,0:00:57,fc07718b-853d-4a8f-8fd8-3c08aa713ede,i think it's name_1.
5,0:00:58,0:00:59,41327c6b-fe54-449a-94aa-09f0b291dd58,hmm.
6,0:01:00,0:01:02,41327c6b-fe54-449a-94aa-09f0b291dd58,did you become the host.
7,0:01:05,0:01:09,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,know someone wanted my claim post key for the zoom room for the pri rick.
8,0:01:10,0:01:11,41327c6b-fe54-449a-94aa-09f0b291dd58,okay.
9,0:01:11,0:01:14,a1958a61-a8ce-4002-9980-c66db01f95fe," yeah, thank you for using your link, we need that he."
10,0:01:16,0:01:17,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah.
11,0:01:17,0:01:20,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,hang on i just i just edited the message that's there now.
12,0:01:21,0:01:21,a1958a61-a8ce-4002-9980-c66db01f95fe,we're cool.
13,0:01:22,0:01:25,41327c6b-fe54-449a-94aa-09f0b291dd58," so, are we going to use your link for the."
14,0:01:26,0:01:27,41327c6b-fe54-449a-94aa-09f0b291dd58,the whole refreshing.
15,0:01:27,0:01:28,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," yes, sounds like."
16,0:01:28,0:01:30,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," the one the one sent it out, so you might as."
17,0:01:30,0:01:32,41327c6b-fe54-449a-94aa-09f0b291dd58,well done doesn't matter like.
18,0:01:32,0:01:33,,yeah.
19,0:01:34,0:01:38,41327c6b-fe54-449a-94aa-09f0b291dd58,yay name_1 here's to you know complete good to go.
20,0:01:39,0:01:40,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,nice.
